인덱스,유형,QA
1,생물 보호,"생물 보호 시나리오 생성해줘
시간: 10:00
상황: 어부들이 불법으로 산호를 채집하고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 산호 채집 신고 접수, 시간 소요: 2분2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 산호 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 7분5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 산호를 안전하게 자연으로 돌려보냄, 시간 소요: 4분6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 21분 이내에 불법 채집 현장 단속 및 산호 방생 완료"
2,생물 보호,"생물 보호 시나리오 생성해줘
시간: 15:00
상황: 관광객들이 불법으로 바다 거북 알을 채집하고 있다.
절차: 1. 신고 접수: 신고자: 관광 가이드 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 바다 거북 알 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 6명, 준비 작업: 단속 장비 및 바다 거북 알 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 6명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 4명, 처치 내용: 바다 거북 알을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 바다 거북 알 방생 완료"
3,생물 보호,"생물 보호 시나리오 생성해줘
시간: 11:00
상황: 다이버들이 불법으로 해삼을 채집하고 있다
절차: 1. 신고 접수: 신고자: 스쿠버 강사 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해삼 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 해삼 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해삼을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 19분 이내에 불법 채집 현장 단속 및 해삼 방생 완료"
4,생물 보호,"생물 보호 시나리오 생성해줘
시간: 16:00
상황: 어린이가 해수욕장에서 해양 생물을 학대하고 있다.
절차: 1. 신고 접수: 신고자: 해수욕장 관리자 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 해양 생물 학대 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 3명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 해양 생물 학대 현장 도착 및 상황 파악, 출동 경로: 학대 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 3명, 학대 활동 중지시키고 관련자 조사, 시간 소요: 5분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 해양 생물 학대 관련자에게 법적 조치 진행
목표: 총 18분 이내에 학대 현장 단속 및 해양 생물 방생 완료"
5,생물 보호,"생물 보호 시나리오 생성해줘
시간: 13:00
상황: 어부들이 보호 구역에서 불법으로 물고기를 잡고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 어획 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 어획 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 어획 활동 현장 도착 및 상황 파악, 출동 경로: 불법 어획 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 어획 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 물고기를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 어획 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 어획 현장 단속 및 물고기 방생 완료"
6,생물 보호,"생물 보호 시나리오 생성해줘
시간: 9:00
상황: 해수욕장에서 어린이가 해양 생물을 수집하고 있다.
절차: 1. 신고 접수: 신고자: 해수욕장 안전 요원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해양 생물 수집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 3명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 수집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 수집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 3명, 불법 수집 활동 중지시키고 관련자 조사, 시간 소요: 5분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 수집 관련자에게 법적 조치 진행
목표: 총 18분 이내에 불법 수집 현장 단속 및 해양 생물 방생 완료"
7,생물 보호,"생물 보호 시나리오 생성해줘
시간: 17:00
상황: 해수욕장에서 사람이 불법으로 해양 식물을 채집하고 있다.
절차: 1. 신고 접수: 신고자: 인근 주민 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해양 식물 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 해양 식물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 식물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 해양 식물 방생 완료"
8,생물 보호,"생물 보호 시나리오 생성해줘
시간: 8:00
상황: 해양 보호 구역에서 불법 잠수부들이 불법 채집을 하고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 채집 활동 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 6명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 6명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 4명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 19분 이내에 불법 채집 현장 단속 및 해양 생물 방생 완료"
9,생물 보호,"생물 보호 시나리오 생성해줘
시간: 12:00
상황: 해양 보호 구역에서 상어를 불법적으로 잡는 사람들이 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 상어 포획 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 상어 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 포획 활동 현장 도착 및 상황 파악, 출동 경로: 불법 포획 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 포획 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 상어를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 포획 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 포획 현장 단속 및 상어 방생 완료"
10,생물 보호,"생물 보호 시나리오 생성해줘
시간: 18:00
상황: 해변에서 관광객이 조개를 불법 채집하고 있다.
절차: 1. 신고 접수: 신고자: 해수욕장 안전 요원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 조개 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 조개 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 조개를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 19분 이내에 불법 채집 현장 단속 및 조개 방생 완료"
11,생물 보호,"생물 보호 시나리오 생성해줘
시간: 7:00
상황: 어부들이 보호 구역에서 불법으로 고래를 포획하고 있다
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 고래 포획 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 고래 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 포획 활동 현장 도착 및 상황 파악, 출동 경로: 불법 포획 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 포획 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 고래를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 포획 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 포획 현장 단속 및 고래 방생 완료"
12,생물 보호,"생물 보호 시나리오 생성해줘
시간: 14:00
상황: 해양 보호 구역에서 불법으로 산호를 채집하는 다이버들이 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 산호 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 산호 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 산호를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 산호 방생 완료"
13,생물 보호,"생물 보호 시나리오 생성해줘
시간: 11:00
상황: 해양 보호 구역에서 상어를 불법적으로 잡는 사람들이 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 상어 포획 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 상어 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 포획 활동 현장 도착 및 상황 파악, 출동 경로: 불법 포획 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 포획 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 상어를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 포획 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 포획 현장 단속 및 상어 방생 완료"
14,생물 보호,"생물 보호 시나리오 생성해줘
시간: 15:00
상황: 어부들이 보호 구역에서 불법으로 물고기를 잡고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 어획 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 5명, 준비 작업: 단속 장비 및 어획 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 어획 활동 현장 도착 및 상황 파악, 출동 경로: 불법 어획 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 5명, 불법 어획 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 3명, 처치 내용: 물고기를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 어획 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 어획 현장 단속 및 물고기 방생 완료"
15,생물 보호,"생물 보호 시나리오 생성해줘
시간: 10:00
상황: 해양 보호 구역에서 불법 잠수부들이 불법 채집을 하고 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 채집 활동 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 6명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 5분 4. 단속 작업: 해양 경찰 대원: 6명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 4명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 19분 이내에 불법 채집 현장 단속 및 해양 생물 방생 완료"
16,생물 보호,"생물 보호 시나리오 생성해줘
시간: 13:00
상황: 해양 보호 구역에서 불법으로 산호를 채집하는 다이버들이 있다.
절차: 1. 신고 접수: 신고자: 해양 연구원 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 산호 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 산호 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 산호를 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 산호 방생 완료"
17,생물 보호,"생물 보호 시나리오 생성해줘
시간: 16:00
상황: 해수욕장에서 한 명이 해양 생물을 불법 채집을 하고 있다.
절차: 1. 신고 접수: 신고자: 인근 주민 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해양 생물 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 해양 생물 방생 완료"
18,생물 보호,"생물 보호 시나리오 생성해줘
시간: 11:00
상황: 관광객들이 불법으로 바다 거북 알을 채집하고 있다.
절차: 1. 신고 접수: 신고자: 관광 가이드 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 바다 거북 알 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 6명, 준비 작업: 단속 장비 및 바다 거북 알 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 6명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 4명, 처치 내용: 바다 거북 알을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 바다 거북 알 방생 완료"
19,생물 보호,"생물 보호 시나리오 생성해줘
시간: 13:00
상황: 해수욕장에서 한 명이 해양 생물을 불법 채집을 하고 있다.
절차: 1. 신고 접수: 신고자: 인근 주민 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해양 생물 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 해양 생물 방생 완료"
20,생물 보호,"생물 보호 시나리오 생성해줘
시간: 16:00
상황: 해수욕장에서 한 명이 해양 생물을 불법 채집을 하고 있다.
절차: 1. 신고 접수: 신고자: 인근 주민 1명, 신고 대상: 해양 경찰 구조 센터, 신고 내용: 불법 해양 생물 채집 신고 접수, 시간 소요: 2분 2. 초기 대응: 출동 인원: 해양 경찰 4명, 준비 작업: 단속 장비 및 해양 생물 보호 장비 준비, 시간 소요: 3분 3. 현장 도착: 불법 채집 활동 현장 도착 및 상황 파악, 출동 경로: 불법 채집 활동하는 포인트로 바로 이동, 시간 소요: 6분 4. 단속 작업: 해양 경찰 대원: 4명, 불법 채집 활동 중지시키고 관련자 조사, 시간 소요: 6분 5. 생물 보호: 현장 인원: 해양 경찰 2명, 처치 내용: 해양 생물을 안전하게 자연으로 돌려보냄, 시간 소요: 3분 6. 후속 조치: 법적 조치: 불법 채집 관련자에게 법적 조치 진행
목표: 총 20분 이내에 불법 채집 현장 단속 및 해양 생물 방생 완료"
21,수상레저,"수상레저 시나리오 생성해줘
시간: 11:00
상황: 제트 스키 충돌 사고 발생, 한 명의 탑승자가 물에 빠져 부상
절차: 신고 접수:
신고자: 제트 스키 탑승객
신고 대상: 해양 경찰 구조 센터
신고 내용: 제트 스키 충돌, 위치, 부상자 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 6명 (구조 보트 4명, 응급 처치 팀 2명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 3분 이내
출동 경로: 해안에서 사고 지점까지 직선 경로
구조 작업:
구조 대원: 4명 (1명 보트 운전, 3명 부상자 접근 및 구조)
구명조끼 착용 및 구조: 2분
부상자를 보트로 옮김: 2분
응급 처치:
처치 인원: 응급 처치 팀 2명
처치 내용: 기본 응급 처치 (출혈 멈추기, 골절 확인 및 고정)
시간 소요: 4분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 14분 이내에 부상자 구조 및 응급 처치 완료"
22,수상레저,"수상레저 시나리오 생성해줘
시간: 14:00
상황: 바나나 보트 전복 사고 발생, 탑승자 3명 물에 빠짐
절차: 신고 접수:
신고자: 바나나 보트 운영자
신고 대상: 해양 경찰 구조 센터
신고 내용: 보트 전복, 위치, 탑승자 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 8명 (구조 보트 5명, 응급 처치 팀 3명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 3분 이내
출동 경로: 해안에서 사고 지점까지 직선 경로
구조 작업:
구조 대원: 5명 (1명 보트 운전, 4명 탑승자 접근 및 구조)
구명조끼 착용 및 구조: 3분
탑승자들을 보트로 옮김: 3분
응급 처치:
처치 인원: 응급 처치 팀 3명
처치 내용: 기본 응급 처치 (저체온증 확인 및 조치, 부상 확인)
시간 소요: 4분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 15분 이내에 탑승자 구조 및 응급 처치 완료"
23,수상레저,"수상레저 시나리오 생성해줘
시간: 16:00
상황: 패들보드 사용자 물에 빠져 패들보드와 분리됨
절차: 신고 접수:
신고자: 다른 패들보드 사용자
신고 대상: 해양 경찰 구조 센터
신고 내용: 물에 빠진 사용자, 위치, 사용자 상태
시간 소요: 1분
초기 대응:
출동 인원: 해양 경찰 구조팀 4명 (구조 보트 3명, 응급 처치 팀 1명)
준비 작업: 구조 보트 준비, 응급 처치 장비 준비
시간 소요: 2분
현장 도착:
구조 보트 도착 시간: 2분 이내
출동 경로: 해안에서 사고 지점까지 직선 경로
구조 작업:
구조 대원: 3명 (1명 보트 운전, 2명 사용자 접근 및 구조)
구명조끼 착용 및 구조: 2분
사용자를 보트로 옮김: 1분
응급 처치:
처치 인원: 응급 처치 팀 1명
처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
시간 소요: 3분
후속 조치:
이송 경로: 해변 응급처치소
이송 시간: 2분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 12분 이내에 사용자 구조 및 응급 처치 완료"
