인덱스,유형,QA
95,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 10:15
상황: 해파리 떼가 출몰하여 피서객들이 해파리에 쏘일 위험에 처함.
절차: 신고 접수:

신고자: 해수욕장 안전 요원 2명
신고 대상: 해양 경찰 구조 센터
신고 내용: 해파리 떼 출몰, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:

출동 인원: 해양 경찰 구조팀 6명 (구조 보트 3명, 대피 팀 3명)
준비 작업: 구조 보트 준비, 대피 장비 준비
시간 소요: 2분
현장 도착:

구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 해파리 떼 출몰 위치까지 직선 경로
구조 작업:

구조 대원: 6명 (구조 보트 3명, 대피 팀 3명)
구조 작업 및 대피 유도: 8분
피서객들을 안전 구역으로 이동: 4분
응급 처치:

처치 인원: 응급 처치 팀 3명
처치 내용: 해파리에 쏘인 피해자 응급처치
시간 소요: 5분
후속 조치:

이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 29분 이내에 해파리 떼 대응 및 피서객 안전 관리 완료"
96,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 14:30
상황: 수영 중이던 피서객이 물살에 휘말려 고립됨.
절차: 신고 접수:

신고자: 해수욕장 안전 요원 1명
신고 대상: 해양 경찰 구조 센터
신고 내용: 수영객 고립, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:

출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 대피 팀 2명)
준비 작업: 구조 보트 준비, 대피 장비 준비
시간 소요: 2분
현장 도착:

구조 보트 도착 시간: 3분 이내
출동 경로: 해안에서 고립된 위치까지 직선 경로
구조 작업:

구조 대원: 5명 (구조 보트 3명, 대피 팀 2명)
구조 작업 및 대피 유도: 6분
피서객들을 안전 구역으로 이동: 3분
응급 처치:

처치 인원: 응급 처치 팀 3명
처치 내용: 고립된 수영객 응급처치
시간 소요: 5분
후속 조치:

이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 24분 이내에 고립된 수영객 구조 및 안전 관리 완료"
97,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 18:45
상황: 해수욕장 근처에서 낙뢰가 발생하여 피서객들이 위험에 처함.
절차: 신고 접수:

신고자: 해수욕장 안전 요원 3명
신고 대상: 해양 경찰 구조 센터
신고 내용: 낙뢰 발생, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:

출동 인원: 해양 경찰 구조팀 10명 (구조 보트 5명, 대피 팀 5명)
준비 작업: 구조 보트 준비, 대피 장비 준비
시간 소요: 2분
현장 도착:

구조 보트 도착 시간: 5분 이내
출동 경로: 해안에서 낙뢰 발생 위치까지 직선 경로
구조 작업:

구조 대원: 10명 (구조 보트 5명, 대피 팀 5명)
구조 작업 및 대피 유도: 10분
피서객들을 안전 구역으로 이동: 5분
응급 처치:

처치 인원: 응급 처치 팀 4명
처치 내용: 낙뢰 피해자 응급처치
시간 소요: 5분
후속 조치:

이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 32분 이내에 낙뢰 대응 및 피서객 안전 관리 완료"
98,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 10:00
상황: 해양생물(상어 등)이 해수욕장 근처에서 출몰하여 피서객들이 위험에 처함.
절차: 신고 접수:

신고자: 해수욕장 안전 요원 1명
신고 대상: 해양 경찰 구조 센터
신고 내용: 해양생물 출몰, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:

출동 인원: 해양 경찰 구조팀 7명 (구조 보트 4명, 대피 팀 3명)
준비 작업: 구조 보트 준비, 대피 장비 준비
시간 소요: 2분
현장 도착:

구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 해양생물 출몰 위치까지 직선 경로
구조 작업:

구조 대원: 7명 (구조 보트 4명, 대피 팀 3명)
구조 작업 및 대피 유도: 8분
피서객들을 안전 구역으로 이동: 3분
응급 처치:

처치 인원: 응급 처치 팀 3명
처치 내용: 해양생물 공격 피해자 응급처치
시간 소요: 5분
후속 조치:

이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 27분 이내에 해양생물 대응 및 피서객 안전 관리 완료"
99,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 19:30
상황: 해변 파티 중 폭죽 폭발로 인한 사고 발생.
절차: 신고 접수:

신고자: 해수욕장 안전 요원 1명
신고 대상: 해양 경찰 구조 센터
신고 내용: 폭죽 폭발 사고, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:

출동 인원: 해양 경찰 구조팀 8명 (구조 보트 4명, 대피 팀 4명)
준비 작업: 구조 보트 준비, 대피 장비 준비
시간 소요: 2분
현장 도착:

구조 보트 도착 시간: 4분 이내
출동 경로: 해안에서 폭발 사고 위치까지 직선 경로
구조 작업:

구조 대원: 8명 (구조 보트 4명, 대피 팀 4명)
구조 작업 및 대피 유도: 7분
피서객들을 안전 구역으로 이동: 3분
응급 처치:

처치 인원: 응급 처치 팀 4명
처치 내용: 폭발 피해자 응급처치 및 화상 치료
시간 소요: 5분
후속 조치:

이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 26분 이내에 폭죽 폭발 사고 대응 및 피서객 안전 관리 완료"
100,피서객 안전,"피서객 안전 시나리오 생성해줘
시간: 16:00
상황: 피서객 인파가 몰려 혼잡하여 이동이 어려운 상황 발생.
절차: 신고 접수:

신고자: 해수욕장 안전 요원 2명
신고 대상: 해양 경찰 구조 센터
신고 내용: 피서객 인파로 인한 혼잡 상황, 위치, 피서객의 상태
시간 소요: 1분
초기 대응:

출동 인원: 해양 경찰 구조팀 10명 (구조 팀 5명, 대피 팀 5명)
준비 작업: 구조 장비 준비, 대피 장비 준비
시간 소요: 2분
현장 도착:

구조 팀 도착 시간: 4분 이내
출동 경로: 해안에서 혼잡 상황 발생 위치까지 직선 경로
구조 작업:

구조 대원: 10명 (구조 팀 5명, 대피 팀 5명)
구조 작업 및 대피 유도: 10분
피서객들을 안전 구역으로 이동: 5분
응급 처치:

처치 인원: 응급 처치 팀 4명
처치 내용: 혼잡으로 인한 부상자 응급처치 및 상태 확인
시간 소요: 5분
후속 조치:

이송 경로: 해변 응급처치소
이송 시간: 4분
추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 31분 이내에 피서객 인파 대응 및 안전 관리 완료"
101,익수자,"익수자 시나리오 생성해줘
시간: 10:00
상황: 해수욕장에서 성인 남성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다.
절차: 1.신고 접수
 - 신고자: 해수욕장 안전 요원 1명
 - 신고 대상: 해양 경찰 구조 센터
 - 신고 내용: 익수자 발생, 위치, 익수자의 상태
 - 시간 소요: 1분
 2. 초기 대응
 - 출동 인원: 해양 경찰 구조팀 4명 (구조 보트 2명, 응급 처치 팀 2명)
 - 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
 - 시간 소요: 2분
 3. 현장 도착
 - 구조 보트 도착 시간: 3분 이내
 - 출동 경로: 해안에서 익수자 위치까지 직선 경로
 4. 구조 작업
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료"
102,익수자,"익수자 시나리오 생성해줘
시간: 15:00
상황: 해수욕장에서 노인 여성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응
- 출동 인원: 해양 경찰 구조팀 4명 (구조 보트 2명, 응급 처치 팀 2명)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)

목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료
"
103,익수자,"익수자 시나리오 생성해줘
시간: 17:00
상황: 해수욕장에서 두 명의 친구가 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료
"
104,익수자,"익수자 시나리오 생성해줘
시간: 11:00
상황: 해수욕장에서 두 명의 부모와 함께 온 어린이 두 명이 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료
"
105,익수자,"익수자 시나리오 생성해줘
시간: 16:00
상황: 해수욕장에서 두 명의 청소년이 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차:  1. 신고 접수
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료"
106,익수자,"익수자 시나리오 생성해줘
시간: 18:00
상황: 해수욕장에서 두 명의 친구가 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6.후속 조치
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료"
107,익수자,"익수자 시나리오 생성해줘
시간: 9:00
상황: 해수욕장에서 한 명의 성인 남성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)

목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료
"
108,익수자,"익수자 시나리오 생성해줘
시간: 10:00
상황: 해수욕장에서 한 명의 성인 여성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료
"
109,익수자,"익수자 시나리오 생성해줘
시간: 13:00
상황: 해수욕장에서 한 명의 성인 남성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료
"
110,익수자,"익수자 시나리오 생성해줘
시간: 14:00
상황: 해수욕장에서 한 명의 어린이가 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)

목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료
"
111,익수자,"익수자 시나리오 생성해줘
시간: 15:00
상황: 해수욕장에서 한 명의 어린이가 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)

목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료
"
112,익수자,"익수자 시나리오 생성해줘
시간: 19:00
상황: 해수욕장에서 한 명의 성인 여성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그녀는 수영을 잘 하지 못하며 패닉 상태입니다
절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료
"
113,익수자,"익수자 시나리오 생성해줘
시간: 11:00
상황: 해수욕장에서 한 명의 성인 남성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그는 수영을 잘 하지 못하며 패닉 상태입니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료
"
114,익수자,"익수자 시나리오 생성해줘
시간: 14:00
상황: 해수욕장에서 한 명의 성인 여성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그녀는 수영을 잘 하지 못하며 패닉 상태입니다.
절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료"
