인덱스,유형,QA
115,익수자,"익수자 시나리오 생성해줘
시간: 17:00
상황: 해수욕장에서 한 명의 성인 남성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그는 수영을 잘 하지 못하며 패닉 상태입니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4.구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료
"
116,익수자,"익수자 시나리오 생성해줘
시간: 18:00
상황: 해수욕장에서 한 명의 성인 여성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그녀는 수영을 잘 하지 못하며 패닉 상태입니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료"
117,익수자,"익수자 시나리오 생성해줘
시간: 18:00
상황: 해수욕장에서 한 명의 성인 여성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그녀는 수영을 잘 하지 못하며 패닉 상태입니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료

"
118,익수자,"익수자 시나리오 생성해줘
시간: 21:00
상황: 해수욕장에서 한 명의 성인 남성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그는 수영을 잘 하지 못하며 패닉 상태입니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표: 총 11분 이내에 익수자 구조 및 응급 처치 완료"
119,익수자,"익수자 시나리오 생성해줘
시간: 22:00
상황: 해수욕장에서 한 명의 성인 여성이 파도에 휩쓸려 바다로 떠밀려가고 있습니다. 그녀는 수영을 잘 하지 못하며 패닉 상태입니다.

절차: 1. 신고 접수**:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응**:
- 출동 인원: 해수욕장 안전 요원 2명 (1명 익수자 접근, 1명 구조 보조)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착**:
- 구조 보트 도착 시간: 3분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업**:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치**:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치**:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)
목표:  총 11분 이내에 익수자 구조 및 응급 처치 완료"
120,익수자,"익수자 시나리오 생성해줘
시간: 14:00
상황: 해수욕장에서 한 명의 어린이가 파도에 휩쓸려 바다로 떠밀려가고 있습니다.

절차: 1. 신고 접수:
- 신고자: 해수욕장 안전 요원 1명
- 신고 대상: 해양 경찰 구조 센터
- 신고 내용: 익수자 발생, 위치, 익수자의 상태
- 시간 소요: 1분
2. 초기 대응:
- 출동 인원: 해양 경찰 구조팀 5명 (구조 보트 3명, 응급 처치 팀 2명)
- 준비 작업: 구조 보트 준비, 응급 처치 장비 준비
- 시간 소요: 2분
3. 현장 도착:
- 구조 보트 도착 시간: 4분 이내
- 출동 경로: 해안에서 익수자 위치까지 직선 경로
4. 구조 작업:
- 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)
- 구명조끼 착용 및 구조: 2분
- 익수자를 보트로 옮김: 1분
5. 응급 처치:
- 처치 인원: 응급 처치 팀 2명
- 처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)
- 시간 소요: 3분
6. 후속 조치:
- 이송 경로: 해변 응급처치소
- 이송 시간: 2분
- 추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)

목표: 총 12분 이내에 익수자 구조 및 응급 처치 완료
"
121,의료지원,"의료지원 시나리오 생성해줘
시간: 12:00
상황: 해변에서 한 성인이 일사병 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터신고 내용: 일사병 증상 발생, 위치 및 상태<br>시간 소요: 1분
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 수액 및 체온 조절 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자를 시원한 곳으로 옮기고 수액 공급, 체온 조절<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 체온과 수분 상태 확인<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 일사병 환자에 대한 응급 처치 및 병원 이송 완료"
122,의료지원,"의료지원 시나리오 생성해줘
시간: 13:00
상황: 한 어린이가 해변에서 넘어져 다리를 다쳤다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 다리 부상, 위치 및 상태<br>시간 소요: 1분
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 2명<br>준비 작업: 응급 처치 장비 준비 (붕대, 얼음팩 등)<br>시간 소요: 2분
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분
4. 응급 처치: 처치 인원: 응급 의료팀 2명<br>처치 내용: 다리 부위 냉각, 붕대 감기<br>시간 소요: 5분
5. 환자 안정화: 처치 인원: 응급 의료팀 2명<br>처치 내용: 환자의 부상 상태 확인<br>시간 소요: 2분
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시
목표: 총 17분 이내에 다리 부상 환자에 대한 응급 처치 및 병원 이송 완료"
123,의료지원,"의료지원 시나리오 생성해줘
시간: 14:00
상황: 한 관광객이 해변에서 식중독 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 식중독 증상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 수액 및 소화제 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 수액 공급, 증상 완화제 투여<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 식중독 환자에 대한 응급 처치 및 병원 이송 완료"
124,의료지원,"의료지원 시나리오 생성해줘
시간: 15:00
상황: 한 성인이 해파리에 쏘여 알레르기 반응을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 해파리 쏘임, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 4명<br>준비 작업: 응급 처치 장비 준비 (에피네프린 주사 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 4명<br>처치 내용: 알레르기 반응 관리 및 해파리 독 제거<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 4명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 4분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 해파리 쏘임 환자에 대한 응급 처치 및 병원 이송 완료"
125,의료지원,"의료지원 시나리오 생성해줘
시간: 16:00
상황: 한 관광객이 해변에서 일산화탄소 중독 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 일산화탄소 중독, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 산소 공급 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 산소 공급 및 환자의 상태 모니터링<br>시간 소요: 5분<br
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 일산화탄소 중독 환자에 대한 응급 처치 및 병원 이송 완료"
126,의료지원,"의료지원 시나리오 생성해줘
시간: 17:00
상황: 한 다이버가 해양 생물에 물려 심한 통증과 부종을 겪고 있다.
절차: 1. 신고 접수: 신고자: 다이버의 동료가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 해양 생물에 물림, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 4명<br>준비 작업: 응급 처치 장비 준비 (소독제, 지혈 도구 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 4명<br>처치 내용: 상처 소독, 지혈, 진통제 투여<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 4명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 4분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 해양 생물에 물린 환자에 대한 응급 처치 및 병원 이송 완료"
127,의료지원,"의료지원 시나리오 생성해줘
시간: 11:00
상황: 한 어린아이가 해변에서 먹은 음식에 알레르기 반응을 보이고 있다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 알레르기 반응 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 4명<br>준비 작업: 응급 처치 장비 준비 (에피네프린 주사 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 4명<br>처치 내용: 알레르기 반응 관리 및 응급 처치<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 4명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 4분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 알레르기 반응 환자에 대한 응급 처치 및 병원 이송 완료"
128,의료지원,"의료지원 시나리오 생성해줘
시간: 10:00
상황: 한 성인이 바다에서 물에 빠져 익사 위기에 처해 있다.
절차: 1. 신고 접수: 신고자: 목격자가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 익수 사고 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 구조팀 5명<br>준비 작업: 구조 보트 준비, 응급 처치 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 익수자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 구조 작업: 구조 대원: 3명 (1명 보트 운전, 2명 익수자 접근 및 구조)<br>구명조끼 착용 및 구조: 2분<br>익수자를 보트로 옮김: 1분<br>
5. 응급 처치: 처치 인원: 응급 처치 팀 2명<br>처치 내용: 기본 응급 처치 (호흡 확인, 심폐소생술 필요 시 실시)<br>시간 소요: 3분<br>
6. 후속 조치: 이송 경로: 해변 응급처치소<br>이송 시간: 2분<br>추가 의료 지원: 필요 시 추가 처치 (의사 또는 추가 의료팀 지원)<br>
목표: 총 17분 이내에 익수자 구조 및 응급 처치 완료"
129,의료지원,"의료지원 시나리오 생성해줘
시간: 14:00
상황: 한 관광객이 해변에서 심한 복통을 호소하고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 심한 복통 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 응급 처치 장비 준비 (진통제, 수액 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 진통제 투여 및 수액 공급<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 복통 환자에 대한 응급 처치 및 병원 이송 완료"
130,의료지원,"의료지원 시나리오 생성해줘
시간: 16:00
상황: 한 어린이가 해변에서 화상을 입었다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 화상 사고 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 응급 처치 장비 준비 (냉각 장비, 소독제 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 화상 부위 냉각 및 소독<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 화상 환자에 대한 응급 처치 및 병원 이송 완료"
131,의료지원,"의료지원 시나리오 생성해줘
시간: 12:00
상황: 한 관광객이 해변에서 넘어져 머리를 다쳤다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 머리 부상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 응급 처치 장비 준비 (붕대, 얼음팩 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 머리 부위 냉각 및 붕대 감기<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 부상 상태 확인<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 머리 부상 환자에 대한 응급 처치 및 병원 이송 완료"
132,의료지원,"의료지원 시나리오 생성해줘
시간: 14:00
상황: 한 성인이 해변에서 탈수 증상을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 탈수 증상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 수액 및 체온 조절 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 수액 공급 및 체온 조절<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 탈수 증상 환자에 대한 응급 처치 및 병원 이송 완료"
133,의료지원,"의료지원 시나리오 생성해줘
시간: 11:00
상황: 한 어린이가 해변에서 구토를 하고 있다.
절차: 1. 신고 접수: 신고자: 부모가 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 구토 증상 발생, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 3명<br>준비 작업: 구토 관리 장비 준비<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 5분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 3명<br>처치 내용: 구토 관리 및 수액 공급<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 3명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 5분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 18분 이내에 구토 증상 환자에 대한 응급 처치 및 병원 이송 완료"
134,의료지원,"의료지원 시나리오 생성해줘
시간: 12:00
상황: 한 성인이 해변에서 벌에 쏘여 알레르기 반응을 보이고 있다.
절차: 1. 신고 접수: 신고자: 주변 사람들이 안전 요원에게 신고<br>신고 대상: 해양 경찰 응급 구조 센터<br>신고 내용: 벌에 쏘임, 위치 및 상태<br>시간 소요: 1분<br>
2. 초기 대응: 출동 인원: 해양 경찰 응급 의료팀 4명<br>준비 작업: 응급 처치 장비 준비 (에피네프린 주사 등)<br>시간 소요: 2분<br>
3. 현장 도착: 도착 시간: 4분 이내<br>출동 경로: 해안에서 환자 위치까지 직선 경로<br>시간 소요: 2분<br>
4. 응급 처치: 처치 인원: 응급 의료팀 4명<br>처치 내용: 알레르기 반응 관리 및 벌침 제거<br>시간 소요: 5분<br>
5. 환자 안정화: 처치 인원: 응급 의료팀 4명<br>처치 내용: 환자의 상태 확인 및 추가 처치<br>시간 소요: 3분<br>
6. 의료 이송: 이송 경로: 해변 응급처치소에서 병원으로 이송<br>이송 시간: 4분<br>추가 처치: 필요 시 추가 응급 처치 실시<br>
목표: 총 17분 이내에 벌에 쏘임 환자에 대한 응급 처치 및 병원 이송 완료"
